id;x;y;subnet;voltLvl
coord_0;9.12527;52.5383;EHV1;1
coord_1;10.3663;52.2846;EHV1;1
coord_2;12.9416;52.5621;EHV1;1
coord_3;13.7097;52.5398;EHV1;1
coord_4;11.3704;48.2915;EHV1;1
coord_5;11.8682;48.2068;EHV1;1
coord_6;13.6835;54.1391;EHV1;1
coord_7;9.98461;53.7411;EHV1;1
coord_8;9.2021;53.8952;EHV1;1
coord_9;9.344;53.8518;EHV1;1
coord_10;9.50179;53.5428;EHV1;1
coord_11;11.1229;50.9989;EHV1;1
coord_12;8.12264;53.5605;EHV1;1
coord_13;11.6389;52.2687;EHV1;1
coord_14;12.187;53.8158;EHV1;1
coord_15;13.3058;52.2308;EHV1;1
coord_16;13.5242;52.5356;EHV1;1
coord_17;8.31334;49.009;EHV1;1
coord_18;7.7535;48.0994;EHV1;1
coord_19;8.62321;49.3566;EHV1;1
coord_20;8.47471;53.4287;EHV1;1
coord_21;13.3264;50.3464;EHV1;1
coord_22;8.77244;49.9747;EHV1;1
coord_23;8.41937;49.6337;EHV1;1
coord_24;11.6464;50.5349;EHV1;1
coord_25;7.03497;52.2029;EHV1;1
coord_26;7.30825;52.4768;EHV1;1
coord_27;7.06034;51.6965;EHV1;1
coord_28;8.30776;52.3456;EHV1;1
coord_29;7.88958;52.2774;EHV1;1
coord_30;13.3353;49.5897;EHV1;1
coord_31;6.99648;49.3754;EHV1;1
coord_32;6.47474;49.9225;EHV1;1
coord_33;6.92676;51.4992;EHV1;1
coord_34;6.6808;51.6463;EHV1;1
coord_35;7.16721;51.3899;EHV1;1
coord_36;7.12557;51.449;EHV1;1
coord_37;6.97258;50.7957;EHV1;1
coord_38;7.86395;50.7682;EHV1;1
coord_39;6.7022;51.0089;EHV1;1
coord_40;6.6124;51.0359;EHV1;1
coord_41;6.96568;51.0693;EHV1;1
coord_42;6.80109;51.1225;EHV1;1
coord_43;6.33001;51.2429;EHV1;1
coord_44;6.84223;50.8599;EHV1;1
coord_45;8.36423;51.9271;EHV1;1
coord_46;8.05409;53.3323;EHV1;1
coord_47;8.47791;53.4285;EHV1;1
coord_48;7.70832;51.6762;EHV1;1
coord_49;13.957;53.2522;EHV1;1
coord_50;14.4763;53.1967;EHV1;1
coord_51;6.61738;51.4758;EHV1;1
coord_52;6.72257;51.4798;EHV1;1
coord_53;9.25103;53.1144;EHV1;1
coord_54;9.19079;48.9144;EHV1;1
coord_55;8.65937;51.9996;EHV1;1
coord_56;6.94948;53.1235;EHV1;1
coord_57;7.95808;47.5955;EHV1;1
coord_58;10.0838;48.2689;EHV1;1
coord_59;9.88552;48.3041;EHV1;1
coord_60;8.95871;50.0826;EHV1;1
coord_61;10.3634;47.7383;EHV1;1
coord_62;9.04543;48.903;EHV1;1
coord_63;9.81092;47.1426;EHV1;1
coord_64;9.42551;48.0644;EHV1;1
coord_65;9.3182;54.716;EHV1;1
coord_66;9.27063;55.037;EHV1;1
coord_67;12.8139;50.8579;EHV1;1
coord_68;12.045;50.7813;EHV1;1
coord_69;12.5182;51.1571;EHV1;1
