id;node;profile;pLoad;qLoad;sR;subnet;voltLvl
EHV Load 1;EHV Bus 1605;HS0;120.607;39.64;126.955;EHV1;1
EHV Load 2;EHV Bus 1571;HS0;123.212;40.5;129.696;EHV1;1
EHV Load 3;EHV Bus 1557;HS0;123.589;40.62;130.094;EHV1;1
EHV Load 4;EHV Bus 1613;HS0;131.419;43.2;138.336;EHV1;1
EHV Load 5;EHV Bus 123;HS0;109.592;36.02;115.36;EHV1;1
EHV Load 6;EHV Bus 1667;HS0;104.943;34.49;110.466;EHV1;1
EHV Load 7;EHV Bus 1891;HS0;161.877;53.21;170.397;EHV1;1
EHV Load 8;EHV Bus 1877;HS0;103.322;33.96;108.76;EHV1;1
EHV Load 9;EHV Bus 1935;HS0;126.96;41.73;133.642;EHV1;1
EHV Load 10;EHV Bus 195;HS0;115.926;38.1;122.027;EHV1;1
EHV Load 11;EHV Bus 1691;HS0;123.817;40.7;130.334;EHV1;1
EHV Load 12;EHV Bus 273;HS0;97.1461;31.93;102.259;EHV1;1
EHV Load 13;EHV Bus 279;HS0;115.445;37.95;121.522;EHV1;1
EHV Load 14;EHV Bus 69;HS0;150.746;49.55;158.68;EHV1;1
EHV Load 15;EHV Bus 1707;HS0;115.498;37.96;121.577;EHV1;1
EHV Load 16;EHV Bus 1683;HS0;101.953;33.51;107.319;EHV1;1
EHV Load 17;EHV Bus 1503;HS0;135.636;44.58;142.775;EHV1;1
EHV Load 18;EHV Bus 1495;HS0;116.841;38.4;122.991;EHV1;1
EHV Load 19;EHV Bus 1671;HS0;95.8747;31.51;100.921;EHV1;1
EHV Load 20;EHV Bus 513;HS0;134.651;44.26;141.738;EHV1;1
EHV Load 21;EHV Bus 1497;HS0;146.598;48.18;154.313;EHV1;1
EHV Load 22;EHV Bus 1701;HS0;116.172;38.18;122.287;EHV1;1
EHV Load 23;EHV Bus 1453;HS0;116.245;38.21;122.363;EHV1;1
EHV Load 24;EHV Bus 1803;HS0;129.588;42.59;136.408;EHV1;1
EHV Load 25;EHV Bus 373;HS0;149.089;49;156.936;EHV1;1
EHV Load 26;EHV Bus 1713;HS0;157.649;51.82;165.947;EHV1;1
EHV Load 27;EHV Bus 115;HS0;133.9;44.01;140.947;EHV1;1
EHV Load 28;EHV Bus 1491;HS0;120.263;39.53;126.593;EHV1;1
EHV Load 29;EHV Bus 1677;HS0;117.66;38.67;123.853;EHV1;1
EHV Load 30;EHV Bus 1731;HS1;298.36;98.07;314.063;EHV1;1
EHV Load 31;EHV Bus 1629;HS1;309.317;101.67;325.597;EHV1;1
EHV Load 32;EHV Bus 183;HS1;321.997;105.84;338.944;EHV1;1
EHV Load 33;EHV Bus 1553;HS1;273.806;90;288.217;EHV1;1
EHV Load 34;EHV Bus 1943;HS1;291.34;95.76;306.674;EHV1;1
EHV Load 35;EHV Bus 1699;HS1;315.914;103.84;332.541;EHV1;1
EHV Load 36;EHV Bus 1827;HS1;318.533;104.7;335.297;EHV1;1
EHV Load 37;EHV Bus 455;HS1;292.008;95.98;307.377;EHV1;1
EHV Load 38;EHV Bus 33;HS10;11.9177;3.92;12.5449;EHV1;1
EHV Load 39;EHV Bus 435;HS10;40.1215;13.19;42.2332;EHV1;1
EHV Load 40;EHV Bus 1467;HS10;15.0502;4.95;15.8424;EHV1;1
EHV Load 41;EHV Bus 1439;HS10;9.98479;3.28;10.5103;EHV1;1
EHV Load 42;EHV Bus 1435;HS10;29.828;9.8;31.3979;EHV1;1
EHV Load 43;EHV Bus 1949;HS10;58.1204;19.1;61.1794;EHV1;1
EHV Load 44;EHV Bus 247;HS10;26.5717;8.73;27.9702;EHV1;1
EHV Load 45;EHV Bus 409;HS10;27.2636;8.96;28.6985;EHV1;1
EHV Load 46;EHV Bus 407;HS10;63.756;20.96;67.1116;EHV1;1
EHV Load 47;EHV Bus 1909;HS10;34.4348;11.32;36.2472;EHV1;1
EHV Load 48;EHV Bus 1741;HS10;28.8044;9.47;30.3205;EHV1;1
EHV Load 49;EHV Bus 1609;HS10;53.4066;17.55;56.2175;EHV1;1
EHV Load 50;EHV Bus 457;HS10;21.7008;7.13;22.8429;EHV1;1
EHV Load 51;EHV Bus 1477;HS10;48.3339;15.89;50.8778;EHV1;1
EHV Load 52;EHV Bus 1765;HS10;26.7522;8.79;28.1603;EHV1;1
EHV Load 53;EHV Bus 1621;HS10;53.5068;17.59;56.323;EHV1;1
EHV Load 54;EHV Bus 1563;HS10;20.8777;6.86;21.9766;EHV1;1
EHV Load 55;EHV Bus 1565;HS10;7.10568;2.34;7.47966;EHV1;1
EHV Load 56;EHV Bus 1593;HS10;38.3134;12.59;40.3299;EHV1;1
EHV Load 57;EHV Bus 1555;HS10;35.5252;11.68;37.395;EHV1;1
EHV Load 58;EHV Bus 245;HS10;28.1097;9.24;29.5892;EHV1;1
EHV Load 59;EHV Bus 213;HS10;38.5821;12.68;40.6127;EHV1;1
EHV Load 60;EHV Bus 1941;HS10;27.515;9.04;28.9631;EHV1;1
EHV Load 61;EHV Bus 1679;HS10;44.4187;14.6;46.7566;EHV1;1
EHV Load 62;EHV Bus 251;HS10;26.5192;8.72;27.915;EHV1;1
EHV Load 63;EHV Bus 1709;HS10;16.8854;5.55;17.7741;EHV1;1
EHV Load 64;EHV Bus 1543;HS10;31.4188;10.33;33.0725;EHV1;1
EHV Load 65;EHV Bus 1835;HS10;4.38697;1.44;4.61786;EHV1;1
EHV Load 66;EHV Bus 1855;HS10;28.9881;9.53;30.5138;EHV1;1
EHV Load 67;EHV Bus 1675;HS10;45.4908;14.95;47.885;EHV1;1
EHV Load 68;EHV Bus 327;HS10;15.244;5.01;16.0464;EHV1;1
EHV Load 69;EHV Bus 1705;HS10;19.421;6.38;20.4432;EHV1;1
EHV Load 70;EHV Bus 329;HS10;49.1598;16.16;51.7471;EHV1;1
EHV Load 71;EHV Bus 1867;HS10;35.921;11.81;37.8116;EHV1;1
EHV Load 72;EHV Bus 1501;HS10;45.9518;15.1;48.3703;EHV1;1
EHV Load 73;EHV Bus 1703;HS10;72.3064;23.77;76.112;EHV1;1
EHV Load 74;EHV Bus 1897;HS10;3.49092;1.15;3.67465;EHV1;1
EHV Load 75;EHV Bus 263;HS10;25.1109;8.25;26.4325;EHV1;1
EHV Load 76;EHV Bus 1929;HS10;54.0466;17.76;56.8911;EHV1;1
EHV Load 77;EHV Bus 1915;HS10;50.6143;16.64;53.2782;EHV1;1
EHV Load 78;EHV Bus 483;HS10;27.671;9.1;29.1274;EHV1;1
EHV Load 79;EHV Bus 265;HS10;44.6191;14.67;46.9675;EHV1;1
EHV Load 80;EHV Bus 1639;HS10;49.0862;16.13;51.6697;EHV1;1
EHV Load 81;EHV Bus 135;HS10;33.713;11.08;35.4874;EHV1;1
EHV Load 82;EHV Bus 1485;HS10;21.1199;6.94;22.2315;EHV1;1
EHV Load 83;EHV Bus 1455;HS10;40.8052;13.41;42.9528;EHV1;1
EHV Load 84;EHV Bus 141;HS10;58.1545;19.11;61.2153;EHV1;1
EHV Load 85;EHV Bus 1429;HS10;22.0338;7.24;23.1934;EHV1;1
EHV Load 86;EHV Bus 119;HS10;2.15943;0.71;2.27309;EHV1;1
EHV Load 87;EHV Bus 1925;HS11;173.104;56.9;182.215;EHV1;1
EHV Load 88;EHV Bus 319;HS11;131.873;43.34;138.814;EHV1;1
